Run ID,Total Time in Environment,Percentage Searched,Percentage Found,Percentage Not Found,Total Mission Time,Number of Recharges,Time in Backtracking,Percentage Recharging,Min Battery,Max Battery,Average Battery,Dead Bots,WPT Summary
1_20_20_50_10_1_1_5_2_5_0.2_5,5000,15.76,0.00,100.00,3000,13,161,5.37,0,100,53.733333333333434,1,Bots Recharged for WPT: 13
1_20_50_1_10_1_1_5_2_5_0.2_5,5000,24.60,0.00,100.00,3000,20,950,31.67,0,100,33.20000000000005,3,Bots Recharged for WPT: 20
1_20_50_10_10_1_1_5_2_5_0.2_5,5000,24.00,0.00,100.00,3000,25,501,16.70,0,100,61.46666666666675,1,Bots Recharged for WPT: 25
1_20_50_20_10_1_1_5_2_5_0.2_5,5000,20.36,0.00,100.00,3000,17,355,11.83,0,100,52.53333333333344,1,Bots Recharged for WPT: 17
1_20_50_50_10_1_1_5_2_5_0.2_5,5000,21.20,0.00,100.00,3000,12,545,18.17,0,100,48.933333333333394,2,Bots Recharged for WPT: 12
1_50_1_1_10_1_1_5_2_5_0.2_5,5000,33.76,0.00,100.00,3000,17,1001,33.37,0,100,41.0666666666667,3,Bots Recharged for WPT: 17
1_50_1_10_10_1_1_5_2_5_0.2_5,5000,26.60,0.00,100.00,3000,17,84,2.80,40.0000000000002,100,68.00000000000011,0,Bots Recharged for WPT: 17
1_50_1_20_10_1_1_5_2_5_0.2_5,5000,16.28,0.00,100.00,3000,7,467,15.57,0,100,19.733333333333373,4,Bots Recharged for WPT: 7
1_50_1_50_10_1_1_5_2_5_0.2_5,5000,20.92,0.00,100.00,3000,25,95,3.17,71.2000000000001,100,78.80000000000007,0,Bots Recharged for WPT: 25
1_50_10_1_10_1_1_5_2_5_0.2_5,5000,20.32,0.00,100.00,3000,81,1503,50.10,0,100,16.666666666666668,5,Bots Recharged for WPT: 81
1_50_10_10_10_1_1_5_2_5_0.2_5,5000,16.08,0.00,100.00,3000,10,1163,38.77,0,100,40.80000000000003,3,Bots Recharged for WPT: 10
1_50_10_20_10_1_1_5_2_5_0.2_5,5000,18.36,0.00,100.00,3000,14,47,1.57,31.20000000000024,100,62.93333333333346,0,Bots Recharged for WPT: 14
1_50_10_50_10_1_1_5_2_5_0.2_5,5000,8.84,0.00,100.00,3000,1,0,0.00,57.60000000000015,100,73.20000000000009,0,Bots Recharged for WPT: 1
1_50_20_1_10_1_1_5_2_5_0.2_5,5000,25.52,0.00,100.00,3000,21,1194,39.80,0,100,38.533333333333374,3,Bots Recharged for WPT: 21
1_50_20_10_10_1_1_5_2_5_0.2_5,5000,20.04,0.00,100.00,3000,8,100,3.33,0,100,73.33333333333337,1,Bots Recharged for WPT: 8
1_50_20_20_10_1_1_5_2_5_0.2_5,5000,23.24,0.00,100.00,3000,11,222,7.40,0,100,58.66666666666675,1,Bots Recharged for WPT: 11
1_50_20_50_10_1_1_5_2_5_0.2_5,5000,22.12,0.00,100.00,3000,8,86,2.87,30.40000000000024,100,64.93333333333347,0,Bots Recharged for WPT: 8
1_50_50_1_10_1_1_5_2_5_0.2_5,5000,18.32,0.00,100.00,3000,12,1569,52.30,0,100,27.466666666666686,4,Bots Recharged for WPT: 12
1_50_50_10_10_1_1_5_2_5_0.2_5,5000,20.84,0.00,100.00,3000,21,369,12.30,0,100,39.8666666666667,3,Bots Recharged for WPT: 21
1_50_50_20_10_1_1_5_2_5_0.2_5,5000,20.96,0.00,100.00,3000,19,126,4.20,29.60000000000024,100,67.60000000000012,0,Bots Recharged for WPT: 19
1_50_50_50_10_1_1_5_2_5_0.2_5,5000,20.60,0.00,100.00,3000,22,74,2.47,60.00000000000013,100,76.53333333333342,0,Bots Recharged for WPT: 22
10_1_1_1_10_1_1_5_2_5_0.2_5,5000,35.84,0.00,100.00,3000,3,1321,44.03,0,100,30.666666666666675,4,Bots Recharged for WPT: 3
10_1_1_10_10_1_1_5_2_5_0.2_5,5000,29.20,0.00,100.00,3000,2,1222,40.73,0,100,27.333333333333353,4,Bots Recharged for WPT: 2
10_1_1_20_10_1_1_5_2_5_0.2_5,5000,33.12,0.00,100.00,3000,21,639,21.30,0,100,74.53333333333337,1,Bots Recharged for WPT: 21
10_1_1_50_10_1_1_5_2_5_0.2_5,5000,30.56,0.00,100.00,3000,8,130,4.33,0,100,58.80000000000003,2,Bots Recharged for WPT: 8
10_1_10_1_10_1_1_5_2_5_0.2_5,5000,48.32,0.00,100.00,3000,12,1013,33.77,0,100,38.91612477307983,2,Bots Recharged for WPT: 12
10_1_10_10_10_1_1_5_2_5_0.2_5,4535,44.00,10.00,90.00,3000,33,1052,35.07,0,100,50.400000000000055,2,Bots Recharged for WPT: 33
10_1_10_20_10_1_1_5_2_5_0.2_5,5000,41.00,0.00,100.00,3000,112,1794,59.80,0,100,16.666666666666668,5,Bots Recharged for WPT: 112
10_1_10_50_10_1_1_5_2_5_0.2_5,5000,31.96,0.00,100.00,3000,7,1519,50.63,0,100,26.533333333333356,4,Bots Recharged for WPT: 7
10_1_20_1_10_1_1_5_2_5_0.2_5,3278,38.64,50.00,50.00,3000,6,1629,54.30,0,100,30.40000000000001,4,Bots Recharged for WPT: 6
10_1_20_10_10_1_1_5_2_5_0.2_5,5000,45.88,0.00,100.00,3000,25,1265,42.17,0,100,28.65227448548795,2,Bots Recharged for WPT: 25
10_1_20_20_10_1_1_5_2_5_0.2_5,5000,35.08,0.00,100.00,3000,18,850,28.33,0,100,36.26666666666671,3,Bots Recharged for WPT: 18
10_1_20_50_10_1_1_5_2_5_0.2_5,5000,24.08,0.00,100.00,3000,9,518,17.27,0,100,40.6666666666667,3,Bots Recharged for WPT: 9
10_1_50_1_10_1_1_5_2_5_0.2_5,5000,27.96,0.00,100.00,3000,4,1162,38.73,0,100,45.86666666666668,3,Bots Recharged for WPT: 4
10_1_50_10_10_1_1_5_2_5_0.2_5,5000,37.08,0.00,100.00,3000,22,1127,37.57,0,100,26.53333333333336,4,Bots Recharged for WPT: 22
10_1_50_20_10_1_1_5_2_5_0.2_5,5000,31.60,0.00,100.00,3000,9,883,29.43,0,100,34.93333333333339,3,Bots Recharged for WPT: 9
10_1_50_50_10_1_1_5_2_5_0.2_5,5000,40.92,0.00,100.00,3000,9,838,27.93,0,100,48.000000000000064,2,Bots Recharged for WPT: 9
10_10_1_1_10_1_1_5_2_5_0.2_5,5000,36.76,0.00,100.00,3000,7,893,29.77,0,100,59.06666666666669,2,Bots Recharged for WPT: 7
10_10_1_10_10_1_1_5_2_5_0.2_5,5000,44.76,0.00,100.00,3000,12,1479,49.30,0,100,32.93333333333334,4,Bots Recharged for WPT: 12
10_10_1_20_10_1_1_5_2_5_0.2_5,5000,36.32,0.00,100.00,3000,10,447,14.90,0,100,32.400000000000006,4,Bots Recharged for WPT: 10
10_10_1_50_10_1_1_5_2_5_0.2_5,5000,29.96,0.00,100.00,3000,5,918,30.60,0,100,49.33333333333339,2,Bots Recharged for WPT: 5
10_10_10_1_10_1_1_5_2_5_0.2_5,5000,50.48,0.00,100.00,3000,36,1560,52.00,0,100,24.666666666666696,4,Bots Recharged for WPT: 36
10_10_10_10_10_1_1_5_2_5_0.2_5,4537,49.76,10.00,90.00,3000,22,1188,39.60,0,100,24.666666666666696,4,Bots Recharged for WPT: 22
10_10_10_20_10_1_1_5_2_5_0.2_5,4535,42.76,20.00,80.00,3000,31,1212,40.40,0,100,29.78536896899875,3,Bots Recharged for WPT: 31
10_10_10_50_10_1_1_5_2_5_0.2_5,4788,40.72,10.00,90.00,3000,12,1158,38.60,0,100,42.13333333333336,3,Bots Recharged for WPT: 12
10_10_20_1_10_1_1_5_2_5_0.2_5,4530,52.20,20.00,80.00,3000,24,735,24.50,0,100,39.8666666666667,3,Bots Recharged for WPT: 24
